排名,标题,UP主,播放量,点赞数,弹幕数,评论数,分区,视频ID_bvid,视频ID_aid
1,吾从人族来，自当为人族竭尽全力！,造梦阿瑄,3937314,702026,10559,11010,日常,BV1R9N76oEXy,116894715611326
2,《崩坏：星穹铁道》动画短片——「你的终点，我的起点」,崩坏星穹铁道,3726880,295289,58428,29420,手机游戏,BV1kZNN6iEPq,116904496729459
3,我----问你为什么要折断奥特钥匙！大结局！（中）,百火哥斯拉,1918670,211320,50524,32385,特摄,BV1kANJ66Ex5,116895906858431
4,路怒症被反杀，真的很解气,小超说交通,13436842,415572,7445,8435,汽车生活,BV1ZvME66EbK,116889649024493
5,为了营造出夏日的氛围🍃，我玩了两年半的“赛博拼豆”...,keky-ven,3322772,463413,3809,2727,日常,BV1jtNx6mExF,116900218544113
6,《下一个是谁》第七季（1）,雨哥到处跑,3849108,466124,151756,35529,日常,BV1UjMn6hEXQ,116890622036439
7,bw漫展神级现场！无耳返全开麦无修音稳如CD！！,夏旬Natsuki,1860095,270933,829,3719,翻唱,BV1B6Nw6HE4N,116902298978318
8,願廣西平安,台灣館長,2496347,739615,13022,9533,日常,BV1pfNj6vEbH,116892903670526
9,“一定不要着急，看我装糖阴他一手”【装糖阴人の小曲】【One kiss-DJ】,早睡起大王,4451532,372606,1627,4664,音乐综合,BV1nwN76YEUG,116892937226201
10,当我两只手弹两架琴并同时弹不同的曲子，左右脑互搏式弹琴法,小憩memories,5938893,480916,2629,3609,演奏,BV1VjNL6LEEm,116891947375445
11,鬼畜全明星！,浪浪山小蛋仔,6328419,535452,6753,10321,鬼畜剧场,BV14JMn6bEZB,116890655525334
12,这才是《The Other Side Of Paradise》原版MV！,妙手回春杨某人,4798008,363095,7871,2918,MV,BV1beM76pEBL,116887904196826
13,锐评100部恋爱番（求保护）,奇怪的coke,1503775,162984,5224,15892,综合,BV1txMp6AE4m,116891091737597
14,没有人！比我！更懂！重庆！,食贫道,4226884,211193,11677,3267,日常,BV11ENn6EEge,116895084711198
15,网络热传生物鉴定 第62期,无穷小亮的科普日常,2206915,203541,16251,4392,搞笑,BV1FmMi6xEgb,116882585687891
16,【老番茄/某幻】你毕业啦！,老番茄,1269596,192412,4627,4250,MV,BV1wDNH6jEEG,116896225565955
17,完整版 NIGHT DANCER 翻唱 【给爱豆做抽象MV】,肥宅雪橇,1438915,214415,1304,6146,翻唱,BV1rnNj6hErD,116893591543114
18,你比泰森还牛比,孙逸轰,3596180,294814,1919,5244,日常,BV18dNF6YExW,116901292351278
